Constituent ID,History All Renewed On Dates,History Expires On,History Membership Category,Renewal Date Fixed,Exp date fixed,
8228,31/12/2015,31/12/2016,Family,12/31/2015,12/31/2016,
8228,30/11/2016,31/12/2017,Family,11/30/2016,12/31/2017,
8261,1/7/2018,31/08/2019,Family,7/1/2018,8/31/2019,
8406,5/4/2017,30/04/2018,Family,4/5/2017,4/30/2018,
8440,28/09/2013,30/09/2014,Family,9/28/2013,9/30/2014,
8529,16/06/2016,30/06/2017,Family,6/16/2016,6/30/2017,
8529,1/12/2018,31/12/2019,Family,12/1/2018,12/31/2019,
8698,5/7/2013,31/07/2014,SED,7/5/2013,7/31/2014,
8742,17/05/2018,31/05/2019,Family,5/17/2018,5/31/2019,
8909,13/04/2014,30/04/2015,Family,4/13/2014,4/30/2015,
8934,18/06/2015,30/06/2016,Family,6/18/2015,6/30/2016,
8983,28/09/2013,31/10/2014,Family,9/28/2013,10/31/2014,
8983,23/10/2014,31/10/2015,Family,10/23/2014,10/31/2015,
8983,6/1/2016,31/01/2017,Family,1/6/2016,1/31/2017,
8983,31/01/2017,31/01/2018,Family,1/31/2017,1/31/2018,
8983,31/01/2018,31/01/2019,Family,1/31/2018,1/31/2019,
8983,31/01/2019,31/01/2020,Family,1/31/2019,1/31/2020,
9153,19/06/2014,30/06/2015,Family,6/19/2014,6/30/2015,
9179,2/2/2018,28/02/2019,Family,2/2/2018,2/28/2019,
9247,19/12/2018,31/12/2019,Family,12/19/2018,12/31/2019,
9432,2/3/2015,31/03/2016,Family,3/2/2015,3/31/2016,
9432,29/01/2017,31/01/2018,Family,1/29/2017,1/31/2018,
9460,21/02/2016,28/02/2017,Family,2/21/2016,2/28/2017,
9460,8/8/2017,30/09/2018,Family,8/8/2017,9/30/2018,
9469,7/2/2013,28/02/2014,SED,2/7/2013,2/28/2014,
9469,8/2/2014,28/02/2015,Enhanced,2/8/2014,2/28/2015,
9469,31/01/2015,29/02/2016,Enhanced,1/31/2015,2/29/2016,
9469,30/01/2016,28/02/2017,Enhanced,1/30/2016,2/28/2017,
9469,28/02/2017,28/02/2018,Enhanced,2/28/2017,2/28/2018,
9469,28/02/2018,28/02/2019,Elemental,2/28/2018,2/28/2019,
9493,,30/04/2018,Family,#VALUE!,4/30/2018,
10130,16/08/2013,31/08/2014,Family,8/16/2013,8/31/2014,
10130,31/12/2014,31/12/2015,Family,12/31/2014,12/31/2015,
10130,23/01/2016,31/01/2017,Family,1/23/2016,1/31/2017,
10130,29/07/2017,31/08/2018,Family,7/29/2017,8/31/2018,
10238,27/05/2014,31/05/2015,Family,5/27/2014,5/31/2015,
10238,7/5/2015,30/06/2016,Enhanced,5/7/2015,6/30/2016,
10238,19/05/2016,30/06/2017,Enhanced,5/19/2016,6/30/2017,
10467,13/10/2017,31/10/2018,Family,10/13/2017,10/31/2018,
10924,30/05/2014,31/05/2015,Family,5/30/2014,5/31/2015,
11762,18/03/2018,31/03/2019,Family,3/18/2018,3/31/2019,
12280,3/5/2013,31/05/2014,Family,5/3/2013,5/31/2014,
12280,15/05/2014,31/05/2015,Family,5/15/2014,5/31/2015,
12280,4/2/2016,28/02/2017,Enhanced,2/4/2016,2/28/2017,
12280,31/03/2017,31/03/2018,Family,3/31/2017,3/31/2018,
12280,1/4/2018,30/04/2019,Family,4/1/2018,4/30/2019,
12424,24/01/2016,31/01/2017,Enhanced,1/24/2016,1/31/2017,
12424,18/01/2017,31/01/2018,Enhanced,1/18/2017,1/31/2018,
12424,8/2/2018,28/02/2019,Elemental,2/8/2018,2/28/2019,
12533,18/03/2015,31/03/2016,Family,3/18/2015,3/31/2016,
12634,8/5/2018,31/05/2019,Family,5/8/2018,5/31/2019,
12820,1/8/2018,31/08/2019,Family,8/1/2018,8/31/2019,
12836,8/5/2013,31/05/2014,Family,5/8/2013,5/31/2014,
13015,4/2/2016,28/02/2017,Family,2/4/2016,2/28/2017,
13028,30/04/2014,30/04/2015,Enhanced,4/30/2014,4/30/2015,
13028,15/07/2015,31/08/2016,Family,7/15/2015,8/31/2016,
13028,28/12/2016,31/12/2017,Family,12/28/2016,12/31/2017,
16002,23/11/2013,31/12/2014,Corporate,11/23/2013,12/31/2014,
16002,21/11/2014,31/12/2015,Corporate,11/21/2014,12/31/2015,
16002,16/11/2015,31/12/2016,Corporate,11/16/2015,12/31/2016,
16002,22/11/2016,31/12/2017,Corporate,11/22/2016,12/31/2017,
16002,31/12/2017,31/12/2018,Corporate,12/31/2017,12/31/2018,
16002,31/12/2018,31/12/2019,Corporate,12/31/2018,12/31/2019,
16008,26/07/2013,31/08/2014,Corporate,7/26/2013,8/31/2014,
16008,22/07/2014,31/08/2015,Corporate,7/22/2014,8/31/2015,
16008,25/07/2015,31/08/2016,Corporate,7/25/2015,8/31/2016,
16008,16/07/2016,31/08/2017,Corporate,7/16/2016,8/31/2017,
16008,31/08/2017,31/08/2018,Corporate,8/31/2017,8/31/2018,
16008,24/07/2018,31/08/2019,Corporate,7/24/2018,8/31/2019,
16121,11/3/2017,31/03/2018,Family,3/11/2017,3/31/2018,
16149,5/10/2013,31/10/2014,Family,10/5/2013,10/31/2014,
16153,7/2/2013,28/02/2014,Enhanced,2/7/2013,2/28/2014,
16153,5/3/2014,31/03/2015,Family,3/5/2014,3/31/2015,
16153,25/03/2015,30/04/2016,Family,3/25/2015,4/30/2016,
16153,3/5/2016,31/05/2017,Family,5/3/2016,5/31/2017,
16183,27/04/2014,30/04/2015,Family,4/27/2014,4/30/2015,
16278,3/1/2014,31/01/2015,Family,1/3/2014,1/31/2015,
16278,22/05/2015,30/06/2016,Family,5/22/2015,6/30/2016,
16278,12/12/2018,31/12/2019,Family,12/12/2018,12/31/2019,
16320,21/01/2013,31/01/2014,Family,1/21/2013,1/31/2014,
16328,2/10/2013,30/11/2014,Family,10/2/2013,11/30/2014,
16328,6/12/2014,31/01/2016,Family,12/6/2014,1/31/2016,
16328,30/12/2015,31/01/2017,Family,12/30/2015,1/31/2017,
16328,14/01/2017,31/01/2018,Family,1/14/2017,1/31/2018,
16357,30/11/2013,30/11/2014,Enhanced,11/30/2013,11/30/2014,
16357,30/12/2014,31/01/2016,Enhanced,12/30/2014,1/31/2016,
16365,18/06/2013,30/06/2014,Family,6/18/2013,6/30/2014,
16370,8/6/2013,30/06/2014,Enhanced,6/8/2013,6/30/2014,
16399,18/12/2016,31/12/2017,Family,12/18/2016,12/31/2017,
16403,12/12/2015,31/12/2016,Family,12/12/2015,12/31/2016,
16403,13/01/2017,31/01/2018,Family,1/13/2017,1/31/2018,
16440,7/5/2013,31/05/2014,Family,5/7/2013,5/31/2014,
16461,2/11/2012,28/02/2014,Family,11/2/2012,2/28/2014,
16461,17/02/2014,28/02/2015,Family,2/17/2014,2/28/2015,
