Preferred State,County,scholar,birthday_party,labs,preschool_prog,homeschool_prog,expiration_date,member_category,membership_year,member_threeplus,unknown_renewal_time,known_time_renewed,total_renewed_times,percent_late
Michigan,Clinton,0,0,0,0,0,8/31/2019,Family,6,1,0,5,5,0.8
Michigan,Ingham,0,0,0,0,0,11/30/2018,Family,4,1,0,3,3,1
Michigan,Ingham,0,0,0,0,0,10/31/2018,Family,3,1,0,2,2,1
Michigan,Ingham,0,0,0,0,0,6/30/2020,Family,4,1,0,3,3,0.333333333
Pennsylvania,Bucks,0,0,0,0,0,5/31/2019,Family,8,1,0,7,7,0.571428571
Michigan,Jackson,0,0,0,0,0,11/30/2018,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,8,1,0,7,7,0.428571429
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,5,1,0,4,4,1
Michigan,Ingham,0,0,0,0,0,1/31/2020,Elemental,7,1,0,6,6,1
Michigan,Clinton,0,0,0,0,0,7/31/2020,Family,3,1,0,2,2,1
Michigan,Grand Traverse,0,0,0,0,0,3/31/2020,Family,8,1,0,7,7,0.714285714
Michigan,Ingham,0,0,0,0,0,8/31/2019,Family,2,0,0,1,1,1
Michigan,Ingham,0,0,0,0,0,12/31/2019,Family,4,1,0,3,3,0.666666667
Michigan,Ingham,0,0,1,0,0,5/31/2020,Enhanced,8,1,0,7,7,0.857142857
Michigan,Eaton,0,0,0,0,0,4/30/2020,Family,5,1,0,4,4,0.75
Michigan,Shiawassee,0,0,0,0,0,2/28/2019,Elemental,9,1,0,8,8,0.125
Michigan,Ingham,0,0,0,0,0,10/31/2018,Enhanced,2,0,0,1,1,1
Michigan,Ingham,0,0,1,0,0,1/31/2020,Elemental,4,1,0,3,3,1
Michigan,Ingham,0,0,0,0,0,4/30/2020,Family,5,1,0,4,4,1
Michigan,Ingham,1,0,0,0,0,4/30/2019,Family,3,1,0,2,2,1
